127.0.0.1 - - [25/Apr/2024:14:45:57 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [25/Apr/2024:14:46:00 +0530] "GET /02-jsps-app/index.jsp HTTP/1.1" 200 176
0:0:0:0:0:0:0:1 - - [25/Apr/2024:14:46:38 +0530] "GET /02-jsps-app/index.jsp HTTP/1.1" 200 176
0:0:0:0:0:0:0:1 - - [25/Apr/2024:14:46:39 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [25/Apr/2024:14:49:40 +0530] "GET /02-jsps-app/index.jsp HTTP/1.1" 200 181
0:0:0:0:0:0:0:1 - - [25/Apr/2024:14:52:01 +0530] "GET /02-jsps-app/index.jsp HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [25/Apr/2024:14:56:13 +0530] "GET /02-jsps-app/index.jsp HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [25/Apr/2024:14:57:53 +0530] "GET /02-jsps-app/index.jsp HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [25/Apr/2024:15:00:30 +0530] "GET /02-jsps-app/index.jsp HTTP/1.1" 500 76520
0:0:0:0:0:0:0:1 - - [25/Apr/2024:15:01:20 +0530] "GET /02-jsps-app/index.jsp HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [25/Apr/2024:15:02:02 +0530] "GET /02-jsps-app/index.jsp HTTP/1.1" 200 379
